id,temporadaId,jornada,equipoId,esLocal,fecha,campoId,golesNuestros,golesRival,resultado
1,1,1,9,true,2025-10-19T11:00:00,1,2,1,VICTORIA
2,1,2,10,false,2025-10-26T10:00:00,3,3,2,VICTORIA
3,1,3,1,true,2025-11-02T11:00:00,2,2,2,EMPATE
4,1,4,2,false,2025-11-16T11:00:00,1,1,1,EMPATE
5,1,5,11,true,2025-11-23T10:00:00,3,0,5,DERROTA
6,1,6,3,true,2025-11-30T10:00:00,2,1,2,DERROTA
7,1,7,4,false,2025-12-14T10:00:00,1,3,0,VICTORIA
8,1,8,5,true,2025-12-21T10:00:00,3,5,2,VICTORIA
9,1,9,6,false,2026-01-11T10:00:00,2,0,12,DERROTA
10,1,10,7,true,2026-01-18T09:00:00,1,3,4,DERROTA
11,1,11,8,false,2026-01-25T09:00:00,3,2,3,DERROTA
12,1,12,9,false,2026-02-01T12:00:00,2,2,1,VICTORIA
13,1,13,10,true,2026-02-08T10:00:00,1,3,3,EMPATE
14,1,14,1,false,2026-02-22T09:00:00,3,3,3,EMPATE
15,1,15,2,true,2026-03-01T12:00:00,2,1,3,DERROTA
16,1,16,11,false,2026-03-08T09:00:00,1,3,10,DERROTA
17,1,17,3,false,2026-03-15T11:00:00,3,2,5,DERROTA
18,1,18,4,true,2026-03-22T11:00:00,2,6,4,VICTORIA
19,1,19,5,false,2026-03-29T10:00:00,1,2,3,DERROTA
20,1,20,6,true,2026-04-12T11:00:00,3,1,1,EMPATE
21,1,21,7,false,2026-04-19T10:00:00,2,2,3,DERROTA
22,1,22,8,true,2026-04-26T09:00:00,1,1,3,DERROTA
